"Tabla","Filas","Columnas","ClavePrimaria"
"VAlbaranesIVAResumen","0","11","nDoc|TipoIVA"
"VAlbaranesEntrega","0","10","NumeroAlbaran"
"VCEnormas","0","4","TipoDoc|nDoc|idCaracteristicas"
"VCElaboratoriosDet","0","4","TipoDoc|nDoc|idCaracteristicas|CElaboratorio"
"VCPFmaquinas","0","23","Codigo"
"VCPFincidenciasOrigenLin","0","3","nIncidencia|TipoDoc|nLinea"
"VCPFincidenciasRecogidaLin","0","14","nLinea"
"VCElaboratorios","0","4","TipoDoc|nDoc|CElaboratorio"
"VBultosVDoc","0","9","nLinea"
"VBultos","0","10","TipoDoc|nDoc|NumeroBulto"
"VCargosAd","0","23","nLin"
"VCEinformes","0","4","TipoDoc|nDoc|idCaracteristicas"
"VCEcaracteristicas","0","8","TipoDoc|nDoc|idCaracteristicas|CEcaracteristica"
"VFacturasIVAResumen","0","11","nDoc|TipoIVA"
"VFacturasLin","0","132","nLinea"
"UCEcaracteristicasValorElemento","0","15","nLinea"
"UCEcaracteristicasValores","0","29","nLinea"
"VFacturasImpuestoRetenidoResumen","0","8","nDoc|TipoImpuestoRetenido"
"VFacturasLinImpuestos","0","10","nVLinea|CodigoImpuesto"
"VMargenBenef","0","4","TipoDoc|nDoc|Familia"
"VMargenMinAlarma","0","5","Tarifa|Articulo|Familia|Subfamilia"
"VManufacturas","0","22","id"
"VFacturasTBAI","0","4","nDoc"
"VIncrPrecio","0","7","nLinea"
"VEfectos","0","81","contador"
"VEfectosAgrupados","0","77","Contador"
"VDocumentosImagenes","0","9","IdImagen"
"UCEcontrolesFabricacionIncidencias","0","9","CodigoControl|CodigoIncidencia"
"VDocumentosGrupos","0","11","IdGrupo"
"VEstructurasVariables","0","9","TipoDoc|nDoc|nLinEstr|Estructura|SimboloVariable|NumeroInstancia"
"VFacRectMotivos","0","2","Codigo"
"VFacturas","0","195","Id"
"UCEcontrolesFabricacion","0","6","Codigo"
"VEstudioCTE","0","18","id"
"VEstudioCTELin","0","44","nLinea"
"UCEcaracteristicasEscalaValores","0","3","CEcaracteristica|Valor"
"TrabajadoresPrendas","0","6","nLinea"
"TrabajadoresIncidencias","0","11","nLinea"
"TrabajadoresPuestos","0","7","nLinea"
"TrabajadoresSeccionesDiasEsp","0","4","Seccion|Fecha"
"TrabajadoresSecciones","0","22","Nombre"
"TrabajadoresHorarioRotativo","0","5","Trabajador|FechaDesde|FechaHasta"
"TrabajadoresFormacion","0","12","nLinea"
"VOfertasDescuentoFamEstr","0","4","nOferta|Familia"
"VOfertasDescuentoFamArt","0","5","nOferta|Familia|Subfamilia"
"TrabajadoresHorarioExcepcion","0","4","Trabajador|FechaDesde|FechaHasta"
"TrabajadoresHorario","0","7","Trabajador|DiaSemana|ManyanaTardeMT"
"TrabGrupos","0","3","Codigo"
"VOfertas","0","9","Numero"
"VNumerosSerie","0","16","nLinea"
"UCEcaracteristicas","0","24","Codigo"
"VMargenMinAlarmaEstr","0","4","Tarifa|Estructura|Familia"
"VOfertasCLAS","0","4","nOferta|Articulo|Acabado"
"TrabajadoresSeccionesFunciones","0","2","Seccion|Nombre"
"VOfertasDescuentoEsp","0","6","nOferta|Articulo|Acabado|AcaTonalidad"
"TrabajadoresSeccionesPlanProdArtMO","0","3","nLinea"
"TrabajadoresVac","0","6","nLinea"
"TrabajadoresTiposContrato","0","1","Tipo"
"UCEcontrolesFabricacionResponsables","0","3","CodigoControl|CodigoResponsable"
"UMecNumBis","0","12","nLin"
"VDocOptimizacion","0","48","nLin"
"UMecPosManilla","0","8","nLin"
"UOptiID","0","2","id"
"UmecRotoxT","0","3","CodPerfMec|CodOp"
"UMecISO","0","8","CodOp"
"UmecConfigDesplaza","0","5","CodOp1|CodOp2"
"UmecConfigDes","0","7","TipoPerf"
"UmecConfigEliminaOp","0","2","CodOp1|CodOp2"
"UMecInvCotaPosPerf","0","4","TipoPerf|Funcion|ApertIntExt"
"VDocOptimizacionBarras","0","18","nLin"
"UOptRestosLin","0","9","id"
"UOptRestos","0","6","Numero"
"UProcedimientosDatos","0","5","Codigo"
"UProcedimientosDatosFasesRealizadas","0","13","nLinea"
"UProcedimientosDatosFases","0","10","CodigoProcedimiento|NumeroFase"
"UOptimizacionM2Restos","0","10","nLin"
"UOptimizacionBarras","0","21","nLin"
"UOptimizacion","0","58","nLIn"
"UOptimizacionBarrasNeg","0","9","nLin"
"UOptimizacionM2PiezasCortadas","0","19","nLin"
"VDocNotifica","0","11","nLinea"
"UmecConfigCerr","0","14","nLin"
"UCorteFormatosCamposUsr","0","6","nLinea"
"UCorteFormatos","0","69","Codigo"
"UCorteFormatosCorrec","0","6","nLinea"
"UCorteMultRPT","0","6","id"
"UCorteFormatosDescripcion","0","4","nLinea"
"VDocOptimizacionBarrasNeg","0","9","nLin"
"UCEcontrolesFabricacionTTMOFases","0","2","CodigoControl|CodigoFase"
"UCEcontrolesFabricacionSoluciones","0","4","CodigoControl|CodigoSolucion"
"UCEcontrolesFabricacionVariables","0","10","CodigoControl|Variable"
